,id,bdate,bmonth,dandm
13160,662013,30,5,"30,5"
13161,662022,2,2,"2,2"
13162,662074,5,4,"5,4"
13163,662097,12,3,"12,3"
13164,662158,31,7,"31,7"
13165,662168,1,1,"1,1"
13166,662225,1,1,"1,1"
13167,662373,19,10,"19,10"
13168,662442,25,11,"25,11"
13169,662480,11,6,"11,6"
13170,662504,26,10,"26,10"
13171,662527,22,9,"22,9"
13172,662604,9,7,"9,7"
13173,662615,5,12,"5,12"
13174,662623,27,10,"27,10"
13175,662736,9,4,"9,4"
13176,662754,20,9,"20,9"
13177,662775,14,7,"14,7"
13178,662814,14,4,"14,4"
13179,662838,1,1,"1,1"
13180,662884,16,2,"16,2"
13181,662984,19,11,"19,11"
13182,663091,21,8,"21,8"
13183,663184,6,11,"6,11"
13184,663241,3,6,"3,6"
13185,663287,30,12,"30,12"
13186,663298,11,9,"11,9"
13187,663351,25,10,"25,10"
13188,663439,16,6,"16,6"
13189,663649,22,9,"22,9"
13190,663729,6,5,"6,5"
13191,663738,5,3,"5,3"
13192,663794,22,8,"22,8"
13193,663814,12,1,"12,1"
13194,663866,26,4,"26,4"
13195,663871,1,1,"1,1"
13196,663947,18,4,"18,4"
13197,663952,3,10,"3,10"
13198,663966,25,10,"25,10"
13199,664130,1,2,"1,2"
13200,664183,26,8,"26,8"
13201,664242,17,12,"17,12"
13202,664244,24,11,"24,11"
13203,664321,21,7,"21,7"
13204,664383,14,2,"14,2"
13205,664423,18,1,"18,1"
13206,664427,22,5,"22,5"
13207,664435,25,7,"25,7"
13208,664484,7,1,"7,1"
13209,664513,13,6,"13,6"
13210,664588,6,10,"6,10"
13211,664640,24,11,"24,11"
13212,664671,2,1,"2,1"
13213,664673,30,6,"30,6"
13214,664714,6,4,"6,4"
13215,664747,3,8,"3,8"
13216,664800,7,12,"7,12"
13217,664806,25,4,"25,4"
13218,664881,6,11,"6,11"
13219,664977,28,8,"28,8"
13220,664978,5,9,"5,9"
13221,664998,26,3,"26,3"
